caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
extracao_em_modo_llt,3,90,1,1,1,98
extracao_em_modo_llt,3,91,1,1,1,98
extracao_em_modo_llt,3,92,1,1,1,98
extracao_em_modo_llt,3,93,1,1,1,98
extracao_em_modo_llt,3,94,1,1,1,98
extracao_em_modo_llt,3,95,1,1,1,98
extracao_em_modo_llt,3,96,1,1,1,98
extracao_em_modo_llt,3,97,1,1,1,98
extracao_em_modo_llt,3,98,1,1,1,98
extracao_em_modo_llt,3,99,1,1,1,98
extracao_em_modo_llt,3,100,1,1,1,98
extracao_em_modo_llt,3,101,1,1,1,98
extracao_em_modo_llt,3,102,1,1,1,98
extracao_em_modo_llt,3,103,1,1,1,98
extracao_em_modo_llt,3,104,1,1,1,98
extracao_em_modo_llt,3,105,1,1,1,98
extracao_em_modo_llt,3,106,1,1,1,98
extracao_em_modo_llt,3,107,1,1,1,98
extracao_em_modo_llt,3,108,1,1,1,98
extracao_em_modo_llt,3,109,1,1,1,98
extracao_em_modo_llt,3,110,1,1,1,98
extracao_em_modo_llt,3,111,1,1,1,98
extracao_em_modo_llt,3,112,1,1,1,98
extracao_em_modo_llt,3,113,1,1,1,98
extracao_em_modo_llt,3,114,1,1,1,98
extracao_em_modo_llt,3,115,1,1,1,98
extracao_em_modo_llt,3,116,1,1,1,98
extracao_em_modo_llt,3,117,1,1,1,98
extracao_em_modo_llt,3,118,1,1,1,98
extracao_em_modo_llt,3,119,1,1,1,98
extracao_em_modo_llt,3,120,1,1,1,98
extracao_em_modo_llt,3,121,1,1,1,98
extracao_em_modo_llt,3,122,1,1,1,98
extracao_em_modo_llt,3,123,1,1,1,98
extracao_em_modo_llt,3,124,1,1,1,98
extracao_em_modo_llt,3,125,1,1,1,98
extracao_em_modo_llt,3,126,1,1,1,98
extracao_em_modo_llt,3,127,1,1,1,98
extracao_em_modo_llt,3,128,1,1,1,98
extracao_em_modo_llt,3,129,1,1,1,98
extracao_em_modo_llt,3,130,1,1,1,98
extracao_em_modo_llt,3,131,1,1,1,98
extracao_em_modo_llt,3,132,1,1,1,98
extracao_em_modo_llt,3,133,1,1,1,98
extracao_em_modo_llt,3,134,1,1,1,98
extracao_em_modo_llt,3,135,1,1,1,98
extracao_em_modo_llt,3,136,2,1,1,98
extracao_em_modo_llt,3,137,1,1,1,98
extracao_em_modo_llt,3,138,1,1,1,98
extracao_em_modo_llt,3,139,1,1,1,98
extracao_em_modo_llt,3,140,1,1,1,98
extracao_em_modo_llt,3,141,1,1,1,98
extracao_em_modo_llt,3,142,1,1,1,98
extracao_em_modo_llt,3,143,1,1,1,98
extracao_em_modo_llt,3,144,1,1,1,98
