caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
extracao_em_modo_llt,3,87,reutilizavel,1,1,98
extracao_em_modo_llt,3,88,reutilizavel,1,1,98
extracao_em_modo_llt,3,89,reutilizavel,1,1,98
extracao_em_modo_llt,3,90,reutilizavel,1,1,98
extracao_em_modo_llt,3,91,reutilizavel,1,1,98
extracao_em_modo_llt,3,92,reutilizavel,1,1,98
extracao_em_modo_llt,3,93,reutilizavel,1,1,98
extracao_em_modo_llt,3,94,reutilizavel,1,1,98
extracao_em_modo_llt,3,95,reutilizavel,1,1,98
extracao_em_modo_llt,3,96,reutilizavel,1,1,98
extracao_em_modo_llt,3,97,reutilizavel,1,1,98
extracao_em_modo_llt,3,98,reutilizavel,1,1,98
extracao_em_modo_llt,3,99,reutilizavel,1,1,98
extracao_em_modo_llt,3,100,reutilizavel,1,1,98
extracao_em_modo_llt,3,101,reutilizavel,1,1,98
extracao_em_modo_llt,3,102,reutilizavel,1,1,98
extracao_em_modo_llt,3,103,reutilizavel,1,1,98
extracao_em_modo_llt,3,104,reutilizavel,1,1,98
extracao_em_modo_llt,3,105,reutilizavel,1,1,98
extracao_em_modo_llt,3,106,reutilizavel,1,1,98
extracao_em_modo_llt,3,107,reutilizavel,1,1,98
extracao_em_modo_llt,3,108,reutilizavel,1,1,98
extracao_em_modo_llt,3,109,reutilizavel,1,1,98
extracao_em_modo_llt,3,110,reutilizavel,1,1,98
extracao_em_modo_llt,3,111,reutilizavel,1,1,98
extracao_em_modo_llt,3,112,reutilizavel,1,1,98
extracao_em_modo_llt,3,113,reutilizavel,1,1,98
extracao_em_modo_llt,3,114,reutilizavel,1,1,98
extracao_em_modo_llt,3,115,reutilizavel,1,1,98
extracao_em_modo_llt,3,116,reutilizavel,1,1,98
extracao_em_modo_llt,3,117,reutilizavel,1,1,98
extracao_em_modo_llt,3,118,reutilizavel,1,1,98
extracao_em_modo_llt,3,119,reutilizavel,1,1,98
